EVENTTIME,APPLICATIONID,NOTIFICATIONID,PUBLISHTIME,SUBSCRIPTIONID,NOTIFICATIONTYPE,NOTIFICATIONVERSION,ASIN,ITEMCONDITION,MARKETPLACEID,OFFERCHANGETYPE,TIMEOFOFFERCHANGE,ISBUYBOXWINNER,ISFEATUREDMERCHANT,ISFULFILLEDBYAMAZON,LISTINGPRICEAMOUNT,LISTINGPRICECURRENCYCODE,PRIMEINFORMATION_ISOFFERNATIONALPRIME,PRIMEINFORMATION_ISOFFERPRIME,FEEDBACKCOUNT,SELLERPOSITIVEFEEDBACKRATING,SHIPPINGAMOUNT,SHIPPINGCURRENCYCODE,SHIPPINGAVAILABILITYTYPE,SHIPPINGAVAILABLEDATE,SHIPPINGMAXIMUMHOURS,SHIPPINGMINIMUMHOURS,SHIPSDOMESTICALLY,SHIPPING_COUNTRY,SHIPPING_STATE,OFFERS_SELLERID,SUBCONDITION
2024-05-17 09:49:59.526 Z,amzn1.sp.solution.c2bed69f-202f-4ce6-ae43-000fdbbb247e,1792aeb1-11a5-4e48-8224-85c301f3f8fb,2024-05-17 09:49:59.895 Z,871c70d2-94d7-4848-86ab-a951d1963e0b,ANY_OFFER_CHANGED,1.0,B00KJ73Q1O,new,ATVPDKIKX0DER,Internal,2024-05-17 09:49:59.209 Z,false,true,false,9.93,USD,false,false,26476,92,0,USD,NOW,,48,24,true,"""US""","""VA""",A1ECJT9FQ4WMHJ,new
2024-05-17 09:49:59.526 Z,amzn1.sp.solution.c2bed69f-202f-4ce6-ae43-000fdbbb247e,1792aeb1-11a5-4e48-8224-85c301f3f8fb,2024-05-17 09:49:59.895 Z,871c70d2-94d7-4848-86ab-a951d1963e0b,ANY_OFFER_CHANGED,1.0,B00KJ73Q1O,new,ATVPDKIKX0DER,Internal,2024-05-17 09:49:59.209 Z,false,true,false,9.95,USD,false,false,23560,94,0,USD,NOW,,0,0,true,"""US""","""MI""",A3F2UBJ6MNDDM5,new
2024-05-17 09:49:59.526 Z,amzn1.sp.solution.c2bed69f-202f-4ce6-ae43-000fdbbb247e,1792aeb1-11a5-4e48-8224-85c301f3f8fb,2024-05-17 09:49:59.895 Z,871c70d2-94d7-4848-86ab-a951d1963e0b,ANY_OFFER_CHANGED,1.0,B00KJ73Q1O,new,ATVPDKIKX0DER,Internal,2024-05-17 09:49:59.209 Z,false,true,false,9.99,USD,false,false,4783,84,0,USD,NOW,,24,24,true,"""US""","""TN""",A32YGV37EPHIKJ,new
2024-05-17 09:49:59.526 Z,amzn1.sp.solution.c2bed69f-202f-4ce6-ae43-000fdbbb247e,1792aeb1-11a5-4e48-8224-85c301f3f8fb,2024-05-17 09:49:59.895 Z,871c70d2-94d7-4848-86ab-a951d1963e0b,ANY_OFFER_CHANGED,1.0,B00KJ73Q1O,new,ATVPDKIKX0DER,Internal,2024-05-17 09:49:59.209 Z,false,true,true,9.99,USD,true,true,8461,98,0,USD,NOW,,0,0,true,,,A14L21XUKD9T4O,new
2024-05-17 09:49:59.526 Z,amzn1.sp.solution.c2bed69f-202f-4ce6-ae43-000fdbbb247e,1792aeb1-11a5-4e48-8224-85c301f3f8fb,2024-05-17 09:49:59.895 Z,871c70d2-94d7-4848-86ab-a951d1963e0b,ANY_OFFER_CHANGED,1.0,B00KJ73Q1O,new,ATVPDKIKX0DER,Internal,2024-05-17 09:49:59.209 Z,true,true,true,9.99,USD,true,true,20252,100,0,USD,NOW,,0,0,true,,,A2V74LV9L3ASTD,new
2024-05-17 09:49:59.526 Z,amzn1.sp.solution.c2bed69f-202f-4ce6-ae43-000fdbbb247e,1792aeb1-11a5-4e48-8224-85c301f3f8fb,2024-05-17 09:49:59.895 Z,871c70d2-94d7-4848-86ab-a951d1963e0b,ANY_OFFER_CHANGED,1.0,B00KJ73Q1O,new,ATVPDKIKX0DER,Internal,2024-05-17 09:49:59.209 Z,false,true,false,11.2,USD,false,false,5670,88,0,USD,NOW,,48,24,true,"""US""","""NE""",A147ASZ83GESTI,new
2024-05-17 09:49:59.526 Z,amzn1.sp.solution.c2bed69f-202f-4ce6-ae43-000fdbbb247e,1792aeb1-11a5-4e48-8224-85c301f3f8fb,2024-05-17 09:49:59.895 Z,871c70d2-94d7-4848-86ab-a951d1963e0b,ANY_OFFER_CHANGED,1.0,B00KJ73Q1O,new,ATVPDKIKX0DER,Internal,2024-05-17 09:49:59.209 Z,false,true,false,11.32,USD,false,false,17006,87,0,USD,NOW,,24,24,true,"""US""","""CA""",ABOPLAY6RS86X,new
2024-05-17 09:49:59.526 Z,amzn1.sp.solution.c2bed69f-202f-4ce6-ae43-000fdbbb247e,1792aeb1-11a5-4e48-8224-85c301f3f8fb,2024-05-17 09:49:59.895 Z,871c70d2-94d7-4848-86ab-a951d1963e0b,ANY_OFFER_CHANGED,1.0,B00KJ73Q1O,new,ATVPDKIKX0DER,Internal,2024-05-17 09:49:59.209 Z,false,true,false,11.69,USD,false,false,34276,96,0,USD,NOW,,24,24,true,"""US""","""VA""",A37RYXSF82P86Q,new
2024-05-17 09:49:59.526 Z,amzn1.sp.solution.c2bed69f-202f-4ce6-ae43-000fdbbb247e,1792aeb1-11a5-4e48-8224-85c301f3f8fb,2024-05-17 09:49:59.895 Z,871c70d2-94d7-4848-86ab-a951d1963e0b,ANY_OFFER_CHANGED,1.0,B00KJ73Q1O,new,ATVPDKIKX0DER,Internal,2024-05-17 09:49:59.209 Z,false,true,false,12.21,USD,false,false,181,92,0,USD,NOW,,24,24,true,"""US""","""TX""",A2I0HOF5WGMLJC,new
2024-05-17 09:49:59.526 Z,amzn1.sp.solution.c2bed69f-202f-4ce6-ae43-000fdbbb247e,1792aeb1-11a5-4e48-8224-85c301f3f8fb,2024-05-17 09:49:59.895 Z,871c70d2-94d7-4848-86ab-a951d1963e0b,ANY_OFFER_CHANGED,1.0,B00KJ73Q1O,new,ATVPDKIKX0DER,Internal,2024-05-17 09:49:59.209 Z,false,true,false,12.22,USD,false,false,31370,94,0,USD,NOW,,24,24,true,"""US""","""OH""",AFF8XSNGT0QQC,new
2024-05-17 09:49:59.526 Z,amzn1.sp.solution.c2bed69f-202f-4ce6-ae43-000fdbbb247e,1792aeb1-11a5-4e48-8224-85c301f3f8fb,2024-05-17 09:49:59.895 Z,871c70d2-94d7-4848-86ab-a951d1963e0b,ANY_OFFER_CHANGED,1.0,B00KJ73Q1O,new,ATVPDKIKX0DER,Internal,2024-05-17 09:49:59.209 Z,false,true,false,12.87,USD,false,false,12426,84,0,USD,NOW,,24,24,true,"""US""","""NE""",A2GSYIQWM0T181,new
2024-05-17 09:49:59.526 Z,amzn1.sp.solution.c2bed69f-202f-4ce6-ae43-000fdbbb247e,1792aeb1-11a5-4e48-8224-85c301f3f8fb,2024-05-17 09:49:59.895 Z,871c70d2-94d7-4848-86ab-a951d1963e0b,ANY_OFFER_CHANGED,1.0,B00KJ73Q1O,new,ATVPDKIKX0DER,Internal,2024-05-17 09:49:59.209 Z,false,true,false,13.67,USD,false,true,89815,97,0,USD,NOW,,24,24,true,"""US""","""VA""",A1G2IX65IQJHUO,new
2024-05-17 09:49:59.526 Z,amzn1.sp.solution.c2bed69f-202f-4ce6-ae43-000fdbbb247e,1792aeb1-11a5-4e48-8224-85c301f3f8fb,2024-05-17 09:49:59.895 Z,871c70d2-94d7-4848-86ab-a951d1963e0b,ANY_OFFER_CHANGED,1.0,B00KJ73Q1O,new,ATVPDKIKX0DER,Internal,2024-05-17 09:49:59.209 Z,false,true,false,15.16,USD,false,false,63837,92,0,USD,NOW,,24,24,true,"""US""","""CA""",A3A5024GKCOK6V,new
2024-05-17 09:49:59.526 Z,amzn1.sp.solution.c2bed69f-202f-4ce6-ae43-000fdbbb247e,1792aeb1-11a5-4e48-8224-85c301f3f8fb,2024-05-17 09:49:59.895 Z,871c70d2-94d7-4848-86ab-a951d1963e0b,ANY_OFFER_CHANGED,1.0,B00KJ73Q1O,new,ATVPDKIKX0DER,Internal,2024-05-17 09:49:59.209 Z,false,true,false,15.78,USD,false,false,11,82,0,USD,NOW,,24,24,true,"""US""","""NY""",A13NYAASDR0XYP,new
