EVENTTIME,OFFERID,ASIN,NOTIFICATIONID,SELLERID,ISBUYBOXWINNER,LISTINGPRICEAMOUNT,LISTINGPRICECURRENCYCODE,PRIMEINFORMATION_ISOFFERNATIONALPRIME,PRIMEINFORMATION_ISOFFERPRIME,SUBCONDITION
2024-05-17 09:51:17.486 Z,1,B0006ULHK6,5226d806-4a5c-4e4e-a25e-733b37841717,A2V74LV9L3ASTD,true,24.73,USD,true,true,new
2024-05-17 09:51:17.486 Z,2,B0006ULHK6,5226d806-4a5c-4e4e-a25e-733b37841717,A3A5024GKCOK6V,false,29.1,USD,false,false,new
2024-05-17 09:51:17.486 Z,3,B0006ULHK6,5226d806-4a5c-4e4e-a25e-733b37841717,A7H37HS2706TH,false,29.85,USD,true,true,new
2024-05-17 09:51:17.486 Z,4,B0006ULHK6,5226d806-4a5c-4e4e-a25e-733b37841717,A7H37HS2706TH,false,29.95,USD,false,false,new
2024-05-17 09:51:17.486 Z,5,B0006ULHK6,5226d806-4a5c-4e4e-a25e-733b37841717,ABOPLAY6RS86X,false,37.09,USD,false,false,new
2024-05-17 09:51:17.486 Z,6,B0006ULHK6,5226d806-4a5c-4e4e-a25e-733b37841717,A3RTD7C8IOA24E,false,42.62,USD,false,false,new
2024-05-17 09:51:17.486 Z,7,B0006ULHK6,5226d806-4a5c-4e4e-a25e-733b37841717,A2I0HOF5WGMLJC,false,52.96,USD,false,false,new
2024-05-17 09:51:17.486 Z,8,B0006ULHK6,5226d806-4a5c-4e4e-a25e-733b37841717,A1ECJT9FQ4WMHJ,false,26.95,USD,false,false,new
2024-05-17 09:51:17.486 Z,9,B0006ULHK6,5226d806-4a5c-4e4e-a25e-733b37841717,A1G2IX65IQJHUO,false,25.97,USD,false,false,new
2024-05-17 09:51:17.486 Z,10,B0006ULHK6,5226d806-4a5c-4e4e-a25e-733b37841717,A29OWEYSFJVSZC,false,25.6,USD,true,true,new
2024-05-17 09:51:17.486 Z,11,B0006ULHK6,5226d806-4a5c-4e4e-a25e-733b37841717,APSAI9VUG3A9O,false,28.12,USD,false,false,new
2024-05-17 09:51:17.486 Z,12,B0006ULHK6,5226d806-4a5c-4e4e-a25e-733b37841717,AFF8XSNGT0QQC,false,26.36,USD,false,false,new
